epoch,accuracy,loss
0,67.75,1.6775271067076631
1,68.7,1.170331758458901
2,69.05,1.1015792746678033
3,69.51,1.0657515439688396
4,69.58,1.0398167050860423
5,69.53,1.0249458980529815
6,69.42,1.0105749264245143
7,69.26,1.0014436110816038
8,69.25,0.9928068140583575
9,69.31,0.9858959372086293
10,69.28,0.9814312528161442
11,69.38,0.9772246529531601
12,69.08,0.9719021678580653
13,69.38,0.9691770472337523
14,69.35,0.965582190038603
15,69.17,0.9632114145304541
16,69.05,0.9603255284411828
17,69.06,0.9587419967517219
18,69.03,0.9563180527571217
19,69.01,0.954737701608092
20,68.86,0.9534422214836111
21,68.98,0.9514306602270707
22,69.18,0.9506805686237257
23,68.86,0.9494872904189712
24,69.14,0.949138541431988
25,68.92,0.9472233558554783
26,69.12,0.9465209908040283
27,69.01,0.9460244973754639
28,68.39,0.9449983658388142
29,68.92,0.9443229356842577
